,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1e-05,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,2.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0
3,0.001,16.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,49.0,0.0,0.0,0.0,41.0,35.0,0.0,0.0,0.0,0.0,0.0,40.0
4,0.001,69.0,95.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1e-05,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0
6,0.001,63.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.001,45.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.001,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,42.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
9,1e-05,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,40.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
10,0.001,63.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1e-05,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0
12,0.001,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,13.0,0.0,0.0,0.0
13,0.001,8.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.001,100.0,0.0,0.0,0.0,77.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.001,51.0,70.0,0.0,0.0,0.0,61.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1e-05,51.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.001,60.0,31.0,0.0,0.0,0.0,72.0,67.0,0.0,49.0,91.0,0.0,40.0,81.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1e-05,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,43.0,63.0,11.0,0.0,7.0,69.0,0.0,0.0,0.0,0.0
19,0.001,5.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.001,49.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,17.0
21,0.001,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,35.0,59.0,0.0,43.0,0.0,39.0,29.0,0.0,0.0,0.0,39.0
22,0.001,10.0,0.0,0.0,0.0,0.0,61.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,1e-05,41.0,0.0,0.0,0.0,0.0,61.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.001,14.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
25,0.001,44.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.001,0.0,0.0,0.0,0.0,47.0,45.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.001,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.001,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.001,53.0,0.0,0.0,0.0,0.0,72.0,22.0,0.0,0.0,0.0,0.0,0.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1e-05,46.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,26.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.001,51.0,0.0,26.0,0.0,0.0,73.0,39.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,41.0,39.0,0.0
