,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,1e-05,63.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0
1,0.001,72.0,0.0,52.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
2,1e-05,62.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
3,0.001,83.0,0.0,46.0,69.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
4,1e-05,77.0,0.0,0.0,0.0,0.0,31.0,36.0,0.0,0.0,0.0,0.0,60.0,0.0,37.0,0.0,0.0,0.0,0.0,40.0,0.0
5,0.001,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,46.0,45.0,22.0,19.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,41.0
6,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
7,0.001,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
8,1e-05,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
9,0.001,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
10,1e-05,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.001,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,75.0,0.0,58.0,0.0,0.0,0.0,0.0,65.0
12,1e-05,12.0,0.0,14.0,0.0,0.0,0.0,15.0,0.0,7.0,13.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0
13,0.001,22.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,57.0
14,1e-05,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.001,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0
16,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
17,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
18,1e-05,52.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
19,0.001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
20,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
21,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0
22,1e-05,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,50.0
23,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,26.0,38.0,0.0,0.0,0.0,42.0,30.0,0.0,0.0,0.0,100.0
24,1e-05,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,65.0,0.0,0.0,0.0,30.0,0.0,0.0,22.0,38.0,0.0
25,0.001,25.0,44.0,80.0,0.0,0.0,0.0,0.0,96.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,61.0,85.0,0.0
26,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
27,0.001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
28,0.001,54.0,0.0,32.0,0.0,0.0,0.0,0.0,5.0,6.0,40.0,36.0,57.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,72.0
29,1e-05,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,41.0,69.0,36.0,62.0,0.0,66.0,60.0,0.0,0.0,55.0,45.0
30,0.001,26.0,0.0,5.0,11.0,0.0,3.0,6.0,8.0,8.0,19.0,29.0,5.0,9.0,0.0,0.0,10.0,2.0,4.0,0.0,9.0
31,0.001,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
32,1e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,37.0,36.0,0.0,0.0,0.0,0.0,0.0,32.0
33,0.001,7.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0
