,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.001,80.0,0.0,50.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,89.0,0.0,74.0,78.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,77.0,0.0,38.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.1,58.0,0.0,50.0,36.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.001,67.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
5,0.1,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,41.0
6,0.001,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
7,0.1,90.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,32.0
9,0.1,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.001,99.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1,90.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0
12,0.1,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.001,71.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0
14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
15,0.1,43.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,22.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.001,94.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1,66.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.001,60.0,0.0,0.0,0.0,0.0,19.0,15.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.1,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,41.0,20.0,0.0,0.0,23.0,2.0,0.0,0.0,0.0,15.0
20,0.001,32.0,0.0,55.0,29.0,0.0,0.0,0.0,71.0,0.0,0.0,35.0,0.0,0.0,0.0,34.0,46.0,0.0,0.0,37.0,77.0
21,0.1,71.0,0.0,64.0,0.0,0.0,0.0,0.0,79.0,0.0,0.0,72.0,0.0,0.0,0.0,85.0,45.0,0.0,0.0,0.0,100.0
22,0.001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.1,1.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,57.0,0.0
24,0.001,55.0,21.0,49.0,31.0,0.0,16.0,14.0,0.0,22.0,0.0,0.0,14.0,0.0,0.0,5.0,0.0,0.0,5.0,16.0,33.0
25,0.1,26.0,0.0,55.0,8.0,0.0,0.0,0.0,0.0,38.0,43.0,38.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,79.0
26,0.1,56.0,0.0,0.0,0.0,0.0,23.0,53.0,18.0,43.0,22.0,64.0,0.0,39.0,31.0,0.0,0.0,40.0,30.0,0.0,27.0
27,0.001,30.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0
28,0.1,39.0,0.0,6.0,2.0,0.0,0.0,9.0,0.0,0.0,0.0,6.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,61.0
29,0.1,9.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
30,0.001,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0
31,0.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,32.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0
32,0.1,54.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,3.0
33,0.001,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
34,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,23.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,29.0
35,0.1,32.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.1,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.1,3.0,0.0,11.0,0.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
38,0.001,58.0,44.0,81.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,31.0,28.0
39,0.1,56.0,0.0,100.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,70.0
40,0.001,66.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,5.0,0.0,3.0,23.0,90.0,6.0
41,0.1,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,14.0,0.0,0.0,5.0,86.0,17.0
42,0.1,37.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.001,33.0,0.0,15.0,56.0,0.0,0.0,0.0,41.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0
44,0.1,35.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
45,0.001,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0
47,0.001,78.0,0.0,20.0,31.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,8.0,68.0,81.0,3.0
48,0.1,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,13.0,0.0,8.0,78.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,7.0
49,0.001,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
50,0.1,14.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,3.0,0.0,0.0,0.0,100.0
51,0.001,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,80.0,24.0,70.0,0.0,75.0,24.0,12.0,0.0,0.0,0.0,0.0,13.0
52,0.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,92.0,0.0,68.0,0.0,30.0,0.0,34.0,0.0,0.0,74.0
53,0.001,92.0,36.0,83.0,82.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,49.0,47.0,84.0,0.0
54,0.1,13.0,0.0,59.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,100.0,40.0,0.0,0.0,0.0,100.0
55,0.001,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
56,0.1,11.0,0.0,17.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
57,0.001,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0
