,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,1e-07,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,58.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1e-05,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1e-07,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0
3,1e-05,100.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,1e-07,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1e-05,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,34.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0
6,1e-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
7,1e-07,60.0,0.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0
8,1e-05,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,57.0
9,1e-05,20.0,53.0,0.0,0.0,0.0,76.0,51.0,0.0,18.0,62.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1e-05,29.0,0.0,18.0,0.0,7.0,8.0,0.0,0.0,9.0,0.0,12.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,9.0
11,1e-07,46.0,0.0,37.0,10.0,0.0,0.0,0.0,0.0,0.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,1e-05,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0
13,1e-05,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0
14,1e-05,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,22.0,20.0,0.0,0.0,0.0,0.0,5.0
15,1e-07,74.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1e-05,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,1e-05,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1e-05,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
19,1e-07,34.0,0.0,29.0,0.0,0.0,73.0,28.0,0.0,45.0,84.0,20.0,0.0,53.0,42.0,0.0,0.0,0.0,25.0,0.0,38.0
20,1e-05,0.0,0.0,0.0,0.0,0.0,49.0,25.0,0.0,56.0,24.0,0.0,0.0,41.0,43.0,61.0,0.0,0.0,25.0,0.0,53.0
21,1e-05,37.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.0,9.0,28.0,0.0,0.0,0.0,0.0,35.0
22,1e-05,28.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,87.0,0.0,0.0,0.0,0.0,0.0,94.0,57.0,0.0
23,1e-05,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
