,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,1e-05,37.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
1,1e-07,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1e-05,1.0,0.0,0.0,0.0,58.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,9.0,0.0,21.0,0.0,0.0,0.0,20.0
3,1e-07,3.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,19.0
4,1e-05,70.0,0.0,27.0,39.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,0.0
5,1e-05,20.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1e-05,28.0,0.0,0.0,0.0,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1e-05,29.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,52.0,0.0,0.0,0.0,49.0,0.0,75.0,0.0,0.0,0.0,0.0,40.0
8,1e-05,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,73.0,0.0,0.0,75.0,67.0,0.0,0.0,68.0,0.0,0.0,0.0,0.0
9,1e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,42.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0
10,1e-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0
11,1e-05,3.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0
12,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,68.0,9.0,0.0,0.0,0.0,0.0,0.0
13,1e-07,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
14,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,22.0,30.0,0.0,0.0,0.0,35.0
15,1e-07,22.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
