,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1e-05,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,23.0,0.0,0.0,0.0,100.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
3,1e-05,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.001,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,43.0,49.0,45.0,0.0,0.0,0.0,0.0,25.0,73.0
5,1e-05,82.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,41.0,34.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,52.0
6,0.001,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1e-05,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,100.0,0.0,0.0
8,0.001,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1e-05,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.001,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,1e-05,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,30.0,0.0,66.0,0.0,62.0,0.0,0.0,0.0,0.0,54.0
12,0.001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,29.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0
13,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,56.0,49.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0
14,0.001,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,1e-05,44.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
17,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
18,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
19,1e-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0
20,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,52.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
22,1e-05,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
23,0.001,25.0,0.0,0.0,0.0,0.0,48.0,26.0,0.0,27.0,100.0,0.0,81.0,100.0,76.0,0.0,43.0,18.0,0.0,0.0,94.0
24,1e-05,75.0,55.0,0.0,0.0,47.0,57.0,76.0,0.0,23.0,40.0,0.0,77.0,40.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0
26,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
27,0.001,38.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,14.0,0.0,12.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
28,0.001,3.0,0.0,19.0,0.0,0.0,0.0,17.0,0.0,0.0,92.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,22.0,58.0,0.0
29,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,35.0,14.0,0.0,7.0,0.0,16.0,0.0,0.0,0.0,0.0,23.0
30,0.001,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
31,1e-05,46.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,1e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0
34,0.001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1e-05,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
36,0.001,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,39.0,23.0,10.0,0.0,0.0,0.0,0.0,0.0
37,1e-05,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,19.0,14.0,0.0,0.0,0.0,0.0,8.0
38,0.001,3.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,80.0,59.0,12.0,0.0,96.0,63.0,26.0,54.0,0.0,0.0,0.0,21.0
39,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.001,12.0,69.0,0.0,0.0,0.0,67.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1e-05,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.001,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
43,1e-05,57.0,8.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
44,0.001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
45,1e-05,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
46,0.001,0.0,0.0,23.0,0.0,0.0,0.0,36.0,0.0,98.0,13.0,75.0,0.0,24.0,24.0,100.0,0.0,0.0,0.0,0.0,88.0
47,1e-05,36.0,0.0,0.0,0.0,43.0,100.0,34.0,0.0,42.0,36.0,10.0,0.0,76.0,0.0,39.0,0.0,43.0,33.0,0.0,53.0
48,0.001,4.0,0.0,0.0,0.0,27.0,42.0,20.0,0.0,4.0,0.0,12.0,0.0,17.0,15.0,31.0,19.0,0.0,0.0,0.0,0.0
49,1e-05,23.0,0.0,0.0,0.0,16.0,20.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,29.0,23.0,0.0,0.0,0.0,8.0
50,0.001,8.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1e-05,23.0,0.0,0.0,0.0,100.0,30.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0
52,0.001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0
53,1e-05,40.0,0.0,89.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
54,0.001,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0
55,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0
56,0.001,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,48.0,82.0,38.0,94.0,95.0,0.0,0.0,0.0,3.0
57,0.001,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,1e-05,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,0.001,14.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,96.0,0.0,0.0
60,1e-05,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0
61,0.001,0.0,55.0,0.0,0.0,0.0,100.0,100.0,0.0,56.0,0.0,0.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,1e-05,0.0,0.0,0.0,0.0,67.0,69.0,0.0,0.0,0.0,0.0,49.0,52.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,51.0
63,0.001,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
64,1e-05,11.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,73.0,0.0,0.0,0.0
