,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.001,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.1,73.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,99.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,39.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,40.0,0.0
3,0.1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
4,0.1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,48.0,63.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0
5,0.1,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,13.0,0.0,0.0,0.0
6,0.1,73.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,74.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0
7,0.001,62.0,8.0,38.0,0.0,0.0,0.0,29.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.1,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
9,0.001,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,7.0,6.0,6.0,0.0,0.0,3.0,3.0
12,0.1,57.0,75.0,77.0,0.0,0.0,0.0,69.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.001,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1,54.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
15,0.001,47.0,0.0,0.0,0.0,14.0,21.0,0.0,0.0,15.0,0.0,7.0,0.0,14.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0
16,0.1,22.0,0.0,43.0,0.0,34.0,59.0,0.0,0.0,59.0,26.0,51.0,0.0,52.0,28.0,55.0,0.0,38.0,28.0,0.0,49.0
17,0.001,60.0,26.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1,78.0,10.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,21.0,0.0,0.0,21.0
19,0.1,34.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.001,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.001,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,7.0,34.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.1,73.0,0.0,0.0,0.0,0.0,11.0,0.0,36.0,32.0,0.0,19.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
24,0.1,9.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,54.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,100.0
25,0.1,34.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.1,42.0,0.0,50.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.001,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0
