,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,1e-05,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
1,0.001,59.0,0.0,74.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,60.0,0.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
3,1e-05,72.0,0.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0
4,0.001,21.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,35.0,33.0,24.0,0.0,37.0,30.0,0.0,0.0,0.0,0.0,0.0,47.0
5,1e-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0
6,0.001,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,0.001,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
8,0.001,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,41.0
9,1e-05,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,58.0
10,0.001,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,79.0
11,1e-05,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
12,0.001,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1e-05,49.0,0.0,6.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,40.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,28.0
14,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,100.0
15,0.001,56.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0
16,0.001,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,63.0,42.0,0.0,0.0,0.0,64.0
17,1e-05,87.0,28.0,0.0,0.0,18.0,67.0,30.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,57.0,0.0,0.0
18,0.001,89.0,0.0,41.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,40.0,0.0,0.0,0.0,19.0,57.0,0.0,0.0,0.0,100.0
19,0.001,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0
20,1e-05,57.0,42.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,15.0,0.0,0.0,0.0,7.0,0.0,28.0,0.0
21,0.001,20.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,34.0,38.0,44.0,47.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,83.0
22,1e-05,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,54.0,0.0,0.0,7.0,0.0,0.0,48.0,0.0,0.0,0.0,57.0
23,0.001,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,34.0,12.0,4.0,16.0,0.0,19.0,7.0,0.0,0.0,0.0,26.0
24,0.001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
25,0.001,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0
26,0.001,11.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.001,51.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
28,0.001,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0
29,1e-05,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0
30,0.001,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0
31,0.001,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
32,1e-05,42.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,23.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.001,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
34,1e-05,45.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,38.0,68.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0
35,0.001,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
36,1e-05,44.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,6.0,9.0,22.0,9.0,11.0,0.0,0.0,33.0
37,0.001,58.0,0.0,33.0,6.0,0.0,0.0,20.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,41.0
38,0.001,39.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,11.0,73.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,100.0
39,1e-05,62.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
40,0.001,28.0,0.0,0.0,23.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,82.0,11.0,0.0,0.0,0.0,20.0,0.0
41,1e-05,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
