,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.1,84.0,0.0,79.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001,55.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.1,14.0,0.0,0.0,0.0,10.0,2.0,2.0,0.0,1.0,0.0,3.0,0.0,52.0,0.0,4.0,1.0,0.0,0.0,0.0,13.0
3,0.001,61.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.1,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0
5,0.001,81.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,65.0,0.0,15.0,48.0
6,0.1,89.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
7,0.001,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
8,0.1,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0
9,0.001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.1,88.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
12,0.1,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0
13,0.001,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.1,40.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0
15,0.001,69.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0
16,0.1,49.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
17,0.1,96.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.1,47.0,0.0,67.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.001,30.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.1,12.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,40.0,60.0,0.0,76.0,0.0,0.0,0.0,68.0,0.0,0.0,63.0,75.0
21,0.001,80.0,0.0,47.0,0.0,0.0,37.0,0.0,0.0,15.0,43.0,0.0,31.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.001,36.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0
23,0.1,16.0,0.0,60.0,0.0,0.0,9.0,35.0,8.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,25.0
24,0.1,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0
25,0.1,41.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.1,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.001,60.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.1,41.0,0.0,14.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,8.0,38.0
29,0.001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0
30,0.1,21.0,0.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
31,0.001,93.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,31.0
32,0.1,54.0,0.0,54.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.001,60.0,68.0,68.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.1,28.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0
35,0.1,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,12.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0
36,0.001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,33.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.1,41.0,0.0,0.0,0.0,0.0,46.0,27.0,0.0,76.0,0.0,20.0,0.0,60.0,0.0,13.0,0.0,28.0,0.0,10.0,43.0
38,0.001,9.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,71.0,0.0,0.0,0.0,64.0,0.0,68.0,0.0,0.0,24.0,0.0,100.0
39,0.1,45.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0
40,0.001,78.0,19.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.1,71.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,28.0,0.0,0.0,24.0,0.0,0.0,0.0,11.0,50.0
42,0.001,74.0,0.0,42.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,84.0
43,0.1,26.0,0.0,0.0,0.0,45.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0
44,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
45,0.1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,76.0
46,0.1,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0
47,0.1,3.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,5.0,73.0,80.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0
48,0.001,5.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,57.0,0.0,49.0,0.0,16.0,0.0,52.0,0.0,0.0,0.0,0.0,34.0
49,0.1,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
50,0.1,41.0,0.0,44.0,33.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,0.001,56.0,0.0,11.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,0.1,90.0,0.0,53.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,5.0
