,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
2,0.1,0.0,0.0,0.0,0.0,0.0,25.0,85.0,0.0,0.0,100.0,0.0,0.0,7.0,0.0,2.0,9.0,0.0,0.0,0.0,3.0
3,0.001,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0
4,0.1,9.0,0.0,0.0,0.0,18.0,16.0,0.0,0.0,30.0,19.0,7.0,0.0,17.0,20.0,0.0,75.0,0.0,0.0,0.0,80.0
5,0.1,15.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.001,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0
7,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,100.0
8,0.001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.1,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.1,6.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,36.0,24.0,0.0,25.0,0.0,0.0,0.0,36.0
11,0.001,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
12,0.1,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.001,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
14,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,30.0,0.0,0.0,0.0
15,0.001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0
16,0.1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,100.0,0.0,15.0,100.0,0.0,0.0,0.0,0.0
18,0.001,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,66.0,0.0,0.0,0.0,0.0
19,0.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,38.0,34.0,0.0,0.0,0.0,46.0,61.0,0.0,0.0,0.0,0.0
20,0.001,30.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,45.0,36.0,0.0,100.0,0.0,0.0,30.0
22,0.001,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,100.0,0.0,0.0,0.0,64.0,100.0,0.0,0.0,0.0
23,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.1,15.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,25.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0
26,0.001,30.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,52.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0
27,0.1,9.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,45.0,0.0,58.0,0.0,0.0,20.0
28,0.001,27.0,0.0,20.0,8.0,0.0,9.0,20.0,0.0,27.0,9.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,11.0,0.0
29,0.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
30,0.001,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0
31,0.1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0
32,0.001,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0
33,0.1,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0
34,0.001,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0
35,0.1,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
36,0.001,45.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,14.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
37,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,80.0,25.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,45.0
38,0.001,31.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,21.0
39,0.1,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.001,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.001,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
43,0.1,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,10.0,0.0,0.0,0.0,0.0,66.0
44,0.001,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
45,0.1,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,38.0,0.0,0.0,0.0,35.0,36.0,0.0,0.0
46,0.001,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,73.0,27.0,0.0,0.0,0.0,39.0,0.0,93.0,0.0,0.0,46.0
47,0.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,9.0,0.0,18.0,0.0,0.0,100.0
48,0.001,61.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,0.0,0.0,78.0,0.0,0.0,0.0
49,0.1,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0,25.0,44.0,46.0,0.0,87.0,0.0,0.0,0.0,0.0
50,0.001,13.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,32.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0
51,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,25.0,100.0,0.0,0.0,0.0,0.0
52,0.001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,5.0,66.0,0.0,91.0,0.0,0.0,0.0,0.0
53,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0
54,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
55,0.1,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,91.0,46.0,7.0,10.0,0.0,0.0,0.0,14.0
56,0.1,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,33.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,100.0
57,0.001,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,0.1,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,84.0
59,0.001,5.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,9.0,0.0,59.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,0.1,0.0,0.0,0.0,0.0,0.0,37.0,28.0,0.0,100.0,0.0,97.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,100.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0
62,0.1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
63,0.001,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,8.0,18.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
