,Dilution,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
0,0.001,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1e-05,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.001,40.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0
3,1e-05,58.0,0.0,11.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
4,0.001,71.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,54.0,57.0,0.0,0.0,0.0,0.0,49.0,20.0,26.0,0.0
5,1e-05,76.0,0.0,40.0,43.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0
6,0.001,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
7,1e-05,79.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0
8,0.001,63.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,18.0,12.0,11.0,11.0,8.0,12.0,14.0,8.0,0.0,0.0,0.0,0.0
9,0.001,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.001,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0
11,1e-05,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.001,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0
13,1e-05,56.0,0.0,16.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0
14,0.001,83.0,0.0,91.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.001,53.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1e-05,33.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.001,3.0,0.0,0.0,0.0,31.0,78.0,53.0,0.0,69.0,82.0,0.0,77.0,51.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
18,1e-05,25.0,0.0,0.0,0.0,29.0,37.0,26.0,77.0,88.0,24.0,0.0,0.0,0.0,60.0,20.0,0.0,0.0,0.0,0.0,0.0
19,0.001,31.0,0.0,0.0,0.0,15.0,24.0,0.0,15.0,11.0,20.0,17.0,0.0,0.0,6.0,35.0,0.0,0.0,0.0,0.0,48.0
20,1e-05,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,43.0,39.0,0.0,0.0,0.0,14.0,4.0,0.0,0.0,0.0,25.0
21,0.001,24.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,29.0,0.0,0.0,23.0,0.0,0.0,0.0,26.0,33.0,0.0
22,0.001,39.0,0.0,44.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0
23,0.001,18.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.001,43.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,0.0,0.0,11.0
25,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,1e-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0
27,0.001,10.0,0.0,0.0,0.0,0.0,49.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,1e-05,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.001,40.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.001,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,52.0,23.0,0.0,0.0,0.0,0.0,0.0,18.0
31,1e-05,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
32,0.001,0.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0,24.0,0.0,70.0,0.0,100.0,0.0,100.0,0.0,33.0,25.0,0.0,68.0
33,1e-05,6.0,0.0,0.0,0.0,56.0,89.0,0.0,0.0,0.0,57.0,58.0,0.0,76.0,72.0,43.0,20.0,18.0,17.0,0.0,82.0
34,0.001,33.0,0.0,4.0,0.0,18.0,26.0,16.0,0.0,0.0,3.0,12.0,0.0,14.0,17.0,25.0,11.0,8.0,0.0,0.0,37.0
35,1e-05,44.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,40.0,22.0,0.0,12.0,0.0,13.0,0.0,0.0,0.0,0.0,11.0
36,0.001,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,0.001,63.0,0.0,30.0,94.0,0.0,0.0,0.0,90.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
