Compound Identifier,Odor,Replicate,Intensity,Dilution,subject #,INTENSITY/STRENGTH,VALENCE/PLEASANTNESS,BAKERY,SWEET,FRUIT,FISH,GARLIC,SPICES,COLD,SOUR,BURNT,ACID,WARM,MUSKY,SWEATY,AMMONIA/URINOUS,DECAYED,WOOD,GRASS,FLOWER,CHEMICAL
126,4-Hydroxybenzaldehyde ,,low ,0.001,1,7,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,1,37,60.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,2,55,89.0,0.0,33.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,2,64,71.0,0.0,9.0,2.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,3,89,68.0,0.0,62.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,3,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,low ,0.001,4,29,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,4,100,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,5,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,5,58,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,6,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,6,0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,37.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,7,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,37.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,7,18,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,24.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,8,46,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,13.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,8,51,63.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,9,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,9,100,58.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,10,66,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,10,6,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,11,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,11,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,10.0,96.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,12,78,49.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,12,51,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,13,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,13,81,77.0,0.0,66.0,72.0,0.0,0.0,0.0,100.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,96.0,63.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,14,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,14,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,low ,0.001,15,36,52.0,5.0,27.0,28.0,0.0,0.0,12.0,32.0,13.0,9.0,6.0,6.0,0.0,0.0,11.0,0.0,0.0,0.0,42.0,62.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,15,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,low ,0.001,16,76,29.0,0.0,29.0,0.0,0.0,24.0,31.0,0.0,0.0,22.0,36.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,38.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,16,64,31.0,11.0,22.0,36.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,27.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,17,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,17,41,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,18,13,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,18,53,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,19,58,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,19,61,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,20,57,47.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,24.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,20,66,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,25.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,21,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,21,92,80.0,0.0,57.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,22,30,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,22,29,38.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,23,0,,,,,,,,,,,,,,,,,,,,
126,4-Hydroxybenzaldehyde ,,high ,0.1,23,54,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,24,44,52.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,24,77,47.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,25,24,33.0,0.0,43.0,0.0,0.0,43.0,47.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,47.0,0.0,0.0,18.0,18.0,60.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,25,54,39.0,14.0,43.0,0.0,0.0,70.0,19.0,0.0,33.0,36.0,0.0,0.0,35.0,0.0,29.0,0.0,26.0,0.0,0.0,72.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,26,59,45.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,18.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,26,63,44.0,0.0,14.0,2.0,0.0,0.0,0.0,20.0,0.0,0.0,14.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,39.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,27,17,42.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,27,78,73.0,0.0,77.0,0.0,0.0,0.0,0.0,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,78.0
126,4-Hydroxybenzaldehyde ,,low ,0.001,28,26,23.0,0.0,0.0,0.0,0.0,0.0,4.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,66.0,0.0,0.0,0.0,0.0
126,4-Hydroxybenzaldehyde ,,high ,0.1,28,22,72.0,0.0,33.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,43.0,70.0,0.0
